id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/13/value,assist,teamName,Position
2778536851,155,5,1,17,48,335mseh7gazfrf4eu6w9htw6i,1,59.4,-1.6,5528093853,347,,5528093851,56,Right,5528093861,233,164,,,,,,,,,,,,,,,,51kwsfsllwjzbvbuibze1ilg4,Vanlalzuidika Chhakchhuak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2778536849,164,5,1,17,48,ajwqetklk0m22x7ifsjax5yi,0,40.6,101.6,5528093867,233,155,5528093839,56,Back,5528093841,347,,,,,,,,,,,,,,,,,a1rjrfrukdqfztu8c9l88wduc,Muhammed Uvais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC, 
2778536857,157,1,1,17,59,335mseh7gazfrf4eu6w9htw6i,1,43.9,0,5528093931,212,18.8,5528093925,56,Back,5528093933,213,2.58,5528093923,107,,5528093927,140,28.8,5528093929,141,14.6,,,,,,,51kwsfsllwjzbvbuibze1ilg4,Vanlalzuidika Chhakchhuak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2778536859,158,1,1,18,1,335mseh7gazfrf4eu6w9htw6i,1,26.2,19.7,5528093967,140,27.8,5528093969,141,50.1,5528093965,56,Back,5528093971,212,20.7,5528093973,213,1.49,,,,,,,,,,f3gutlzxtzt5bxtrjdgb0inai,Joe Zoherliana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2778536861,159,1,1,18,6,335mseh7gazfrf4eu6w9htw6i,1,30.4,52.8,5528093981,141,44.2,5528093983,212,13.5,5528093979,140,42,5528093977,56,Back,5528093985,213,5.84,,,,,,,,,,5rd9832gct7uy0acodmor8b11,Florent Ogier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2778536863,160,1,1,18,7,335mseh7gazfrf4eu6w9htw6i,1,42,44.2,5528093999,213,1.64,5528093997,212,13.6,5528093995,141,64.2,5528093993,140,41.1,5528093991,56,Back,,,,,,,,,,111rps7bzz2212jh5g8io7xn8,Lalrinfela Khiangte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2778536867,161,1,1,18,10,335mseh7gazfrf4eu6w9htw6i,1,41.1,65.5,5528094029,140,35,5528094027,56,Back,5528094035,213,2.08,5528094031,141,82.3,5528094033,212,13.1,,,,,,,,,,akimhgnr5qxmokkeq1c3k8p2h,Mohammed Irshad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2778536875,162,1,1,18,13,335mseh7gazfrf4eu6w9htw6i,1,34.9,82.6,5528094093,56,Back,5528094095,140,48,5528094101,213,0.61,5528094097,141,96.8,5528094099,212,16.8,,,,,,,,,,9j7ldugih7jluatsnjb1jcgd1,Zodingliana Adinga Ralte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2778536877,163,43,1,18,18,335mseh7gazfrf4eu6w9htw6i,1,0,0,5528094133,144,42,,,,,,,,,,,,,,,,,,,,,,e6r1r5ggsgbdnudnn5muc4mw9,Alexis Gómez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2778536883,164,4,1,18,19,335mseh7gazfrf4eu6w9htw6i,1,60.6,92.4,5528094209,286,,5528094207,265,,5528094203,56,Left,5528094201,13,,5528094205,152,,5528094213,233,165,,,,,,,e6r1r5ggsgbdnudnn5muc4mw9,Alexis Gómez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2778536879,165,4,1,18,19,ajwqetklk0m22x7ifsjax5yi,0,39.4,7.6,5528094123,13,,5528094125,56,Back,5528094129,265,,5528094127,152,,5528094131,285,,5528094223,233,164,,,,,,,7ci9hj1m4rzmmu0cvyk2iy0ru,Shubham Sarangi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC, 
2778536917,166,1,1,18,35,335mseh7gazfrf4eu6w9htw6i,1,60.1,66.9,5528094315,141,89.7,5528094313,140,72.2,5528094319,213,0.88,5528094317,212,20,5528094311,56,Left,5528094309,152,,5528094307,5,,5528094469,189,,akimhgnr5qxmokkeq1c3k8p2h,Mohammed Irshad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
