id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/16/value,teamName,Position
2781504291,923,27,2,88,25,9eqjks8amwm1ycytsoi7xld25,1,0,0,5544319473,41,Injury,5544319513,233,749,5544319475,53,cpodiheplpmn42lw8l2fdrjtg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2781506251,750,28,2,89,3,8uacz8yrceknwsreon4rb5i8o,1,0,0,5544331197,55,749,5544331331,233,924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2781504397,924,28,2,89,3,9eqjks8amwm1ycytsoi7xld25,1,0,0,5544320137,55,923,5544331335,233,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2781504435,925,18,2,89,15,9eqjks8amwm1ycytsoi7xld25,1,0,0,5544320315,44,Defender,5544320341,55,926,5544320313,41,,5544320317,59,41,,,,,,,,,,,,,cpodiheplpmn42lw8l2fdrjtg,Jay Gupta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2781504437,926,19,2,89,15,9eqjks8amwm1ycytsoi7xld25,1,0,0,5544320325,41,,5544321949,292,6,5544320333,44,Midfielder,5544321951,293,2,5544320329,145,3,5544320331,59,44,5544320335,55,925,,,,bpjhf7w833sd77s9phx8bpvdg,Muhammed Nemil Valiyattil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2781504479,927,1,2,89,24,9eqjks8amwm1ycytsoi7xld25,1,3.6,50.6,5544320539,124,,5544320555,1,,5544320545,141,64.3,5544320551,213,0.16,5544320541,56,Center,5544320547,212,59.5,5544320543,140,59.6,5544320559,74,,ekizuw6hg7uyaojwjusby1jbo,Hrithik Tiwari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,Goalkeeper
2781504481,928,44,2,89,26,9eqjks8amwm1ycytsoi7xld25,1,58.3,79,5544320571,286,,5544320585,233,695,5544320569,56,Left,,,,,,,,,,,,,,,,5hligrqwpc6qzxiyg4rfeay1h,Carl McHugh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2781504475,695,44,2,89,26,8uacz8yrceknwsreon4rb5i8o,0,41.7,21,5544320595,233,928,5544320533,285,,5544320531,56,Back,,,,,,,,,,,,,,,,99p8q4t09iq7scfgt0bkrmlpm,Ashish Pradhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2781504491,929,1,2,89,26,9eqjks8amwm1ycytsoi7xld25,0,59.6,65.4,5544320611,168,,5544320615,140,70.2,5544320621,213,0.92,5544320619,212,18.5,5544320617,141,87.1,5544320609,3,,5544320613,56,Left,,,,5hligrqwpc6qzxiyg4rfeay1h,Carl McHugh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2781504565,696,5,2,89,39,8uacz8yrceknwsreon4rb5i8o,0,39.2,-1.8,5544321017,347,,5544322315,233,931,5544321015,56,Back,,,,,,,,,,,,,,,,99p8q4t09iq7scfgt0bkrmlpm,Ashish Pradhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
