id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/15/value,assist,teamName,Position
2779320421,499,61,2,57,43,9eqjks8amwm1ycytsoi7xld25,1,40.7,17.2,5532410265,56,Back,,,,,,,,,,,,,,,,,,,,,,827uzczm286djuyq5m1jykr85,Iker Guarrotxena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2779317879,478,49,2,57,47,5yvw8xpbzap5lhlze04odtgk4,1,69,51.3,,,,,,,,,,,,,,,,,,,,,,,,,5arf4f4k8om3ux3rryhincxzo,K. Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,Goalkeeper
2779317949,479,1,2,57,48,5yvw8xpbzap5lhlze04odtgk4,1,67.7,49.9,5532381535,140,58.9,5532381531,56,Center,5532381539,141,47.3,5532381541,212,9.4,5532381547,213,3.33,,,,,,,,,,5arf4f4k8om3ux3rryhincxzo,K. Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,Goalkeeper
2779318063,480,1,2,57,49,5yvw8xpbzap5lhlze04odtgk4,1,57,47.3,5532382077,140,47.4,5532382079,141,56,5532382075,56,Back,5532382083,213,2.61,5532382081,212,11.7,,,,,,,,,,3an8bc2nxiodsw6rbcgji1ilm,Danish Farooq Bhat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
2779318185,481,1,2,57,51,5yvw8xpbzap5lhlze04odtgk4,1,48.8,53,5532382707,213,0.85,5532382701,140,55.8,5532382703,141,65.4,5532382705,212,11.2,5532382699,56,Center,,,,,,,,,,bcjkyeu4gtghgy9khmmob9g45,Dusan Lagator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
2779318427,482,1,2,57,54,5yvw8xpbzap5lhlze04odtgk4,1,55.8,65.4,5532383965,213,0.17,5532383967,1,,5532383963,212,38.1,5532383961,141,75.1,5532383959,140,91.5,5532383957,56,Center,,,,,,,ap6n4q8c3c5cj9ilb8bxcy9sk,Vibin Mohanan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
2779318609,483,1,2,58,0,5yvw8xpbzap5lhlze04odtgk4,1,95.5,67.9,5532390789,154,,5532390785,210,13,5532384883,56,Center,5532384893,213,4.73,5532384891,212,23.1,5532384889,141,33.9,5532384887,140,95.8,,,,ccrqgyzzq44gpjva980k10gt0,Mohammed Aimen,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
2779318619,484,13,2,58,4,5yvw8xpbzap5lhlze04odtgk4,1,95.8,33.9,5532390959,214,,5532390957,103,80.6,5532390949,154,,5532390947,29,,5532390955,102,44.2,5532384953,56,Center,5532384951,62,,5532390945,74,,11i7jwqw21v1kzwndjlk7zzdh,Sandeep Singh,5532390965,231,45.8,5532390951,55,483,,5532390963,230,5532385879,20,,5532390961,328,,5532384949,22,99.7,,,,,,,,,,,,,,,Kerala Blasters FC,
2779320101,497,5,2,58,6,9eqjks8amwm1ycytsoi7xld25,1,-1.5,59.2,5532392581,233,485,5532392455,346,,5532392453,56,Back,,,,,,,,,,,,,,,,ekizuw6hg7uyaojwjusby1jbo,Hrithik Tiwari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,Goalkeeper
2779318757,485,5,2,58,6,5yvw8xpbzap5lhlze04odtgk4,0,101.3,40.7,5532385779,346,,5532385777,56,Center,5532392771,233,497,,,,,,,,,,,,,,,,11i7jwqw21v1kzwndjlk7zzdh,Sandeep Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
