id,eventId,typeId,periodId,timeMin,timeSec,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/11/value,qualifier/15/value,assist
2772723831,129,1,1,14,2,1,27.8,12.4,5496334653,140,34.8,5496334651,56,Back,5496334655,141,4.4,5496334659,213,5.65,5496334657,212,9.1,,,,,,,,,,1csytueiqmph9zm2p58ww333e,Ricky Shabong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723851,130,1,1,14,3,1,34.5,4.3,5496334795,141,33.4,5496334793,140,35.2,5496334791,56,Back,5496334799,213,1.53,5496334797,212,19.8,,,,,,,,,,bwiqj25qbrcc2xhc8faqb44wl,Ezequiel Vidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723873,131,1,1,14,7,1,31.6,49,5496334931,56,Back,5496334933,140,41.8,5496334935,141,92.1,5496334937,212,31.2,5496334939,213,1.22,,,,,,,,,,3hyx5x335jn5udim2a132nt2h,Vinit Rai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723891,132,1,1,14,13,1,61.2,76.1,5496335077,212,20.3,5496335079,213,0.36,5496335075,141,86.6,5496335071,56,Left,5496335073,140,79.3,,,,,,,,,,8js8a2yz6jly94vf0ilyg76s4,Tekcham Abhishek Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723905,133,1,1,14,17,1,79,80.3,5496335181,56,Center,5496335183,140,73.8,5496335185,141,63.5,5496335187,212,12.7,5496335189,213,4.27,,,,,,,,,,2hsgcgekgsls87pbwwz9a3q39,Petros Giakoumakis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723911,134,1,1,14,20,1,73.3,59.4,5496335219,213,3.33,5496335215,212,8.6,5496335209,140,65.3,5496335207,56,Center,5496335211,141,57,,,,,,,,,,bwiqj25qbrcc2xhc8faqb44wl,Ezequiel Vidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723919,135,1,1,14,21,1,64.6,57.6,5496335303,141,80.4,5496335301,140,66.9,5496335299,56,Left,5496335307,213,1.42,5496335305,212,15.7,,,,,,,,,,3hyx5x335jn5udim2a132nt2h,Vinit Rai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723929,136,1,1,14,24,1,66.8,81.9,5496335355,140,69.7,5496335361,213,5.53,5496335353,56,Center,5496335359,212,4.2,5496335357,141,77.7,,,,,,,,,,99p8q4t09iq7scfgt0bkrmlpm,Ashish Pradhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723945,137,1,1,14,25,1,67.3,78.8,5496335461,140,74.8,5496335471,213,5.61,5496335465,141,69.6,5496335457,56,Center,5496335469,212,10.1,,,,,,,,,,bwiqj25qbrcc2xhc8faqb44wl,Ezequiel Vidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772724007,173,83,1,14,27,0,22.6,30.9,5496336015,399,2hsgcgekgsls87pbwwz9a3q39,,,,,,,,,,,,,,,,,,,,,,doiw2drickz2eacyeudn3szmy,Deepak Tangri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723947,138,61,1,14,29,0,74.9,69.5,5496335477,56,Center,,,,,,,,,,,,,,,,,,,,,,2hsgcgekgsls87pbwwz9a3q39,Petros Giakoumakis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723949,169,49,1,14,29,1,22.4,28.8,,,,,,,,,,,,,,,,,,,,,,,,,ck9nyxv100c1x24zxde7fx1t6,Asish Rai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723953,139,83,1,14,29,0,75.2,73.5,5496335617,399,ck9nyxv100c1x24zxde7fx1t6,,,,,,,,,,,,,,,,,,,,,,2hsgcgekgsls87pbwwz9a3q39,Petros Giakoumakis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723969,170,1,1,14,32,1,9,17.3,5496335589,56,Back,5496335591,140,4.2,5496335593,141,43.7,5496335595,212,18.6,5496335597,213,1.84,,,,,,,,,,ck9nyxv100c1x24zxde7fx1t6,Asish Rai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723987,171,1,1,14,36,1,9.2,54.9,5496335719,56,Back,5496335729,213,0.13,5496335733,1,,5496335725,212,33.4,5496335723,141,61.1,5496335721,140,40.8,5496335841,155,,,,,dwb1qzzd5g32lwxam6skmdr6x,Vishal Kaith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723995,172,61,1,14,39,0,40.6,60.9,5496335769,56,Back,,,,,,,,,,,,,,,,,,,,,,4sqnd13g7n9e4orv6hcp27fxm,Liston Colaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723997,140,49,1,14,40,1,43.5,50.6,,,,,,,,,,,,,,,,,,,,,,,,,5ku3ut12bd65rq9qoobyv2jh0,Melroy Assisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772724019,141,1,1,14,40,1,45.1,51,5496335923,56,Center,5496335931,213,0.69,5496335927,141,68.1,5496335925,140,58.6,5496335929,212,18.3,,,,,,,,,,5ku3ut12bd65rq9qoobyv2jh0,Melroy Assisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772724035,142,1,1,14,43,1,54.8,70.1,5496336049,56,Left,5496336053,141,94.8,5496336051,140,55.6,5496336057,213,1.52,5496336055,212,16.8,,,,,,,,,,99p8q4t09iq7scfgt0bkrmlpm,Ashish Pradhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772724043,143,1,1,14,47,1,52.1,93.3,5496336157,141,82.7,5496336159,212,19,5496336153,56,Back,5496336161,213,3.53,5496336155,140,35.4,,,,,,,,,,8js8a2yz6jly94vf0ilyg76s4,Tekcham Abhishek Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772724055,144,1,1,14,51,1,34.7,81.9,5496336233,141,56.9,5496336231,140,27.3,5496336235,212,18.7,5496336237,213,4.28,5496336229,56,Back,,,,,,,,,,ciydd242v6efvzsqd2hxqvwus,Pramveer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772724073,145,1,1,14,54,1,27.3,56.1,5496336355,56,Back,5496336363,213,1.41,5496336361,212,22.7,5496336359,141,89,5496336357,140,30.7,,,,,,,,,,5ku3ut12bd65rq9qoobyv2jh0,Melroy Assisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772724091,146,1,1,14,59,1,30.8,91.8,5496336461,140,47.2,5496336473,213,5.4,5496336455,56,Back,5496336471,212,27,5496336465,141,61.2,,,,,,,,,,ciydd242v6efvzsqd2hxqvwus,Pramveer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772724093,147,61,1,15,1,0,47.2,61.2,5496336477,56,Back,,,,,,,,,,,,,,,,,,,,,,bwiqj25qbrcc2xhc8faqb44wl,Ezequiel Vidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772724097,148,45,1,15,3,0,46.6,64.8,5496336487,285,,5496336485,56,Back,5496336515,233,174,,,,,,,,,,,,,,,,bwiqj25qbrcc2xhc8faqb44wl,Ezequiel Vidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772724095,174,3,1,15,3,1,53.4,35.2,5496336483,286,,5496336497,233,148,5496336481,56,Center,,,,,,,,,,,,,,,,wx88q7cbam0swyvjt262qui,Sahal Abdul Samad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772724099,175,49,1,15,3,1,54.2,30.3,,,,,,,,,,,,,,,,,,,,,,,,,wx88q7cbam0swyvjt262qui,Sahal Abdul Samad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772724105,176,50,1,15,4,1,52,30.4,5496336587,233,149,5496336537,56,Center,5496336539,286,,,,,,,,,,,,,,,,,wx88q7cbam0swyvjt262qui,Sahal Abdul Samad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772724109,149,7,1,15,4,0,48,69.6,5496336565,285,,5496336567,233,176,5496336563,56,Back,,,,,,,,,,,,,,,,99p8q4t09iq7scfgt0bkrmlpm,Ashish Pradhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
